time,deviceName,temperature,humidity,pressure_hPa,battery_mV,rssi,snr
2025-10-16 15:55:17,NodoAngel,20.91,61.59,1001.0,16.0,-100,11.3
2025-10-16 15:58:13,NodoAngel,21.0,64.08,1001.0,20.0,-31,10.5
2025-10-16 16:00:54,NodoAngel,21.0,63.47,1001.0,18.0,-31,14.5
2025-10-16 16:01:55,NodoAngel,21.0,63.42,1001.0,18.0,-30,13.3
2025-10-16 16:02:55,NodoAngel,20.99,63.38,1001.0,20.0,-30,13.8
2025-10-16 16:03:55,NodoAngel,21.0,63.47,1001.0,18.0,-31,14.0
2025-10-16 16:04:55,NodoAngel,21.0,63.59,1001.0,18.0,-31,11.0
2025-10-16 16:05:55,NodoAngel,20.98,63.77,1001.0,16.0,-31,13.5
2025-10-16 16:07:35,NodoAngel,20.99,63.83,1001.0,18.0,-32,14.0
2025-10-16 16:08:36,NodoAngel,21.0,63.91,1001.0,16.0,-30,13.5
2025-10-16 16:09:36,NodoAngel,21.0,64.19,1001.0,18.0,-30,13.5
2025-10-16 16:10:36,NodoAngel,21.0,63.94,1001.0,18.0,-31,14.3
2025-10-16 16:11:36,NodoAngel,21.0,63.8,1001.0,20.0,-31,13.5
2025-10-16 16:12:36,NodoAngel,21.01,63.58,1001.0,20.0,-31,9.8
2025-10-16 16:13:37,NodoAngel,21.0,64.15,1001.0,18.0,-32,13.5
2025-10-16 16:14:37,NodoAngel,21.0,64.29,1001.0,20.0,-30,13.5
2025-10-16 16:15:37,NodoAngel,21.0,64.64,1001.0,20.0,-30,13.3
2025-10-16 16:17:18,NodoAngel,21.02,65.22,1001.0,20.0,-30,13.8
2025-10-16 16:18:18,NodoAngel,21.02,66.94,1001.0,20.0,-30,13.5
2025-10-16 16:19:19,NodoAngel,21.02,66.58,1001.0,20.0,-31,14.3
2025-10-16 17:41:08,NodoAngel,21.64,59.05,1001.0,16.0,-88,13.8
2025-10-16 17:42:09,NodoAngel,21.64,59.56,1001.0,20.0,-104,8.8
2025-10-16 17:43:09,NodoAngel,21.6,59.02,1001.0,16.0,-101,11.3
2025-10-16 17:44:09,NodoAngel,21.6,59.04,1001.0,18.0,-99,11.5
2025-10-16 17:45:09,NodoAngel,21.62,59.36,1001.0,16.0,-98,12.3
2025-10-16 17:46:10,NodoAngel,21.63,59.68,1001.0,18.0,-100,11.3
2025-10-16 17:47:10,NodoAngel,21.66,60.21,1001.0,18.0,-100,11.0
2025-10-16 17:48:10,NodoAngel,21.68,59.76,1001.0,18.0,-97,10.5
2025-10-16 17:49:10,NodoAngel,21.71,60.53,1001.0,18.0,-102,10.5
2025-10-16 17:50:10,NodoAngel,21.78,59.46,1001.0,20.0,-102,10.3
2025-10-16 17:51:10,NodoAngel,22.0,68.09,1001.0,20.0,-101,9.5
2025-10-16 17:52:11,NodoAngel,22.17,60.54,1001.0,18.0,-100,11.3
2025-10-16 17:53:11,NodoAngel,22.39,59.69,1001.0,16.0,-101,10.8
2025-10-16 17:59:45,NodoAngel,24.28,56.39,1001.0,14.0,-100,6.0
2025-10-16 17:59:47,NodoAngel,24.3,56.24,1001.0,0.0,-101,10.8
2025-10-16 18:00:47,NodoAngel,24.19,55.75,1001.0,16.0,-99,8.5
2025-10-16 18:01:47,NodoAngel,24.16,56.43,1001.0,18.0,-95,12.8
2025-10-16 18:02:47,NodoAngel,24.17,56.57,1001.0,16.0,-102,10.3
2025-10-16 18:03:48,NodoAngel,24.18,56.58,1001.0,16.0,-104,9.5
2025-10-16 18:04:48,NodoAngel,24.18,56.73,1001.0,16.0,-107,6.8
2025-10-16 18:05:48,NodoAngel,24.19,56.69,1001.0,18.0,-112,1.8
2025-10-16 18:06:48,NodoAngel,24.17,56.78,1001.0,18.0,-109,5.0
2025-10-16 18:07:48,NodoAngel,24.11,56.77,1001.0,18.0,-95,10.8
2025-10-16 18:08:48,NodoAngel,24.07,56.82,1001.0,18.0,-93,13.0
2025-10-16 18:09:49,NodoAngel,24.02,56.79,1001.0,16.0,-94,13.0
2025-10-16 18:10:49,NodoAngel,23.96,56.84,1001.0,16.0,-92,13.3
2025-10-16 18:11:49,NodoAngel,23.9,56.83,1001.0,18.0,-93,9.3
2025-10-16 18:12:49,NodoAngel,23.83,56.87,1001.0,16.0,-94,13.0
2025-10-16 18:13:49,NodoAngel,23.75,56.84,1001.0,16.0,-107,7.5
2025-10-16 18:14:50,NodoAngel,23.61,56.82,1001.0,18.0,-102,10.0
2025-10-16 18:15:50,NodoAngel,23.42,56.79,1001.0,20.0,-103,9.8
2025-10-16 18:16:50,NodoAngel,23.21,56.96,1001.0,16.0,-103,8.5
2025-10-16 18:17:50,NodoAngel,23.0,57.09,1001.0,14.0,-104,9.3
2025-10-16 18:18:50,NodoAngel,22.78,57.28,1001.0,20.0,-108,5.8
2025-10-16 18:19:50,NodoAngel,22.55,57.44,1001.0,18.0,-110,4.5
2025-10-16 18:20:51,NodoAngel,22.34,57.64,1001.0,16.0,-105,8.3
2025-10-16 18:21:51,NodoAngel,22.16,57.9,1001.0,18.0,-102,10.3
