time,deviceName,max_dB,class_label,average_dB,stdev,rssi,snr
2025-12-11 14:21:18,INMP441,75.0,People,54.6,7.09,-97,11.3
2025-12-11 14:22:18,INMP441,67.8,People,52.8,5.08,-95,13.0
2025-12-11 14:23:18,INMP441,63.5,Background Noise,51.9,4.61,-93,13.3
2025-12-11 14:24:18,INMP441,63.6,People,50.9,4.89,-98,12.5
2025-12-11 15:10:00,INMP441,74.2,People,55.1,7.4,-105,10.3
2025-12-11 15:11:00,INMP441,70.1,People,55.4,5.26,-101,10.5
2025-12-11 15:12:01,INMP441,64.5,People,52.4,5.65,-98,11.3
2025-12-11 15:13:01,INMP441,70.4,People,54.1,6.99,-96,11.3
2025-12-11 15:14:01,INMP441,71.5,People,53.4,6.73,-98,11.8
2025-12-11 15:15:01,INMP441,69.2,People,52.4,6.4,-98,11.8
2025-12-11 15:16:01,INMP441,57.8,Background Noise,49.6,4.74,-100,11.3
2025-12-11 15:17:01,INMP441,55.9,Background Noise,49.1,4.95,-101,12.3
2025-12-11 15:18:01,INMP441,57.2,Background Noise,49.0,5.0,-106,8.0
2025-12-11 15:19:01,INMP441,58.8,Background Noise,49.9,4.69,-101,10.5
2025-12-11 15:20:01,INMP441,56.6,Background Noise,49.8,4.34,-97,12.0
2025-12-11 15:21:01,INMP441,71.6,People,52.2,6.21,-103,10.0
2025-12-11 15:22:01,INMP441,70.7,People,52.6,6.49,-105,9.3
2025-12-11 15:23:01,INMP441,67.6,People,52.5,5.82,-99,11.0
2025-12-11 15:24:01,INMP441,66.3,People,51.3,5.59,-103,8.3
2025-12-11 15:25:01,INMP441,65.9,People,50.0,4.91,-98,9.8
2025-12-11 15:26:01,INMP441,68.0,People,51.0,5.29,-100,11.8
2025-12-11 15:27:01,INMP441,60.1,Background Noise,51.3,4.48,-102,10.5
2025-12-11 15:28:01,INMP441,57.5,Background Noise,49.4,4.77,-107,5.5
2025-12-11 15:29:01,INMP441,60.8,People,51.1,4.37,-102,10.0
2025-12-11 15:30:01,INMP441,57.7,Background Noise,50.6,4.41,-99,10.8
2025-12-11 15:31:01,INMP441,60.4,People,49.6,5.29,-105,8.3
2025-12-11 15:32:01,INMP441,58.1,Background Noise,48.7,5.01,-107,7.3
2025-12-11 15:33:01,INMP441,55.9,Background Noise,48.9,4.99,-101,9.0
2025-12-11 15:34:01,INMP441,56.7,Background Noise,49.1,5.15,-105,8.0
2025-12-11 15:35:01,INMP441,64.3,Background Noise,49.6,4.88,-100,11.0
2025-12-11 15:36:01,INMP441,56.1,Background Noise,49.5,4.85,-106,5.8
2025-12-11 15:57:18,INMP441,63.4,People,60.1,1.48,-87,13.5
2025-12-11 15:58:18,INMP441,77.7,Background Noise,59.3,2.65,-97,12.5
2025-12-11 15:59:18,INMP441,82.1,Background Noise,59.7,3.35,-100,9.5
2025-12-11 16:00:19,INMP441,67.6,People,60.0,2.06,-102,11.3
2025-12-11 16:01:19,INMP441,73.0,People,59.5,2.52,-114,0.5
2025-12-11 16:02:19,INMP441,87.4,People,60.7,4.21,-108,7.5
2025-12-11 16:03:19,INMP441,88.5,People,62.1,4.95,-105,9.5
2025-12-11 16:04:19,INMP441,80.4,People,61.3,3.59,-107,8.0
2025-12-11 16:05:19,INMP441,87.1,People,63.0,3.82,-103,8.5
2025-12-11 16:08:00,INMP441,78.8,People,59.4,2.67,-108,6.0
2025-12-11 16:09:01,INMP441,63.5,People,59.5,1.68,-107,8.0
2025-12-11 16:10:01,INMP441,71.3,People,61.0,2.65,-108,0.8
2025-12-11 16:11:00,INMP441,72.0,People,59.9,2.22,-111,4.0
2025-12-11 16:11:01,INMP441,72.0,People,59.9,2.22,-111,4.0
2025-12-11 16:12:01,INMP441,73.0,People,61.6,2.9,-112,3.5
2025-12-11 16:12:01,INMP441,73.0,People,61.6,2.9,-112,3.5
2025-12-11 16:13:01,INMP441,64.9,People,60.1,1.76,-117,-6.0
2025-12-11 16:13:01,INMP441,64.9,People,60.1,1.76,-117,-6.0
2025-12-11 16:14:01,INMP441,67.8,People,60.1,2.04,-115,-1.5
2025-12-11 16:14:01,INMP441,67.8,People,60.1,2.04,-115,-1.5
2025-12-11 16:15:01,INMP441,65.4,Background Noise,59.7,1.62,-117,-6.8
2025-12-11 16:15:01,INMP441,65.4,Background Noise,59.7,1.62,-117,-6.8
2025-12-11 16:15:59,INMP441,68.2,People,59.7,2.18,-110,5.5
2025-12-11 16:15:59,INMP441,68.2,People,59.7,2.18,-110,5.5
2025-12-11 16:16:59,INMP441,64.8,People,59.5,1.74,-107,5.8
2025-12-11 16:16:59,INMP441,64.8,People,59.5,1.74,-107,5.8
2025-12-11 16:17:59,INMP441,76.2,People,59.5,2.21,-109,6.3
2025-12-11 16:17:59,INMP441,76.2,People,59.5,2.21,-109,6.3
2025-12-11 16:18:59,INMP441,72.8,Background Noise,59.7,2.12,-109,6.3
2025-12-11 16:18:59,INMP441,72.8,Background Noise,59.7,2.12,-109,6.3
2025-12-11 16:19:59,INMP441,64.8,People,59.5,1.71,-111,5.0
2025-12-11 16:19:59,INMP441,64.8,People,59.5,1.71,-111,5.0
