time,deviceName,temperature,humidity,pressure_hPa,battery_mV,battery_pct,rssi,snr
2025-12-20 00:01:22,NODO 1.26,25.14,81.73,1008.0,3915.0,89.2,-117,-5.3
2025-12-20 00:01:35,NODO 1.18,23.74,98.72,1006.0,3900.0,88.9,-94,13.3
2025-12-20 00:03:46,NODO 1.2,23.75,100.0,1006.0,3905.0,88.8,-91,13.5
2025-12-20 00:03:52,NODO 1.9,24.04,88.65,1007.0,3930.0,88.6,-102,8.3
2025-12-20 00:04:02,NODO 1.14,23.88,93.39,1007.0,3935.0,88.3,-89,13.5
2025-12-20 00:04:25,NODO 1.20,24.23,94.38,1007.0,3915.0,88.3,-104,4.0
2025-12-20 00:05:03,NODO 1.27,23.48,90.18,1007.0,3714.0,86.5,-94,13.0
2025-12-20 00:05:49,NODO 1.8,23.81,98.23,1005.0,3945.0,86.9,-106,9.0
2025-12-20 00:06:01,NODO 1.32,23.88,100.0,1006.0,3964.0,87.2,-108,7.3
2025-12-20 00:07:49,NODO 1.7,24.72,79.49,1007.0,3935.0,87.2,-115,-4.3
2025-12-20 00:07:51,NODO 1.31,23.62,90.89,1007.0,3886.0,86.9,-112,3.0
2025-12-20 00:08:10,NODO 1.16,23.93,88.52,1007.0,3935.0,89.2,-115,0.3
2025-12-20 00:09:03,NODO 1.29,23.72,90.34,1005.0,3930.0,89.0,-91,14.0
2025-12-20 00:09:19,NODO 1.1,23.6,91.58,1006.0,3915.0,88.5,-107,8.8
2025-12-20 00:10:21,NODO 1.11,23.47,92.93,1005.0,3989.0,89.0,-97,12.3
2025-12-20 00:15:15,NODO 1.10,23.47,90.87,1007.0,3930.0,89.5,-90,13.8
2025-12-20 00:16:49,NODO 1.3,24.86,78.33,1007.0,3915.0,89.3,-116,-3.3
2025-12-20 00:17:02,NODO 1.19,24.75,79.27,1007.0,3925.0,89.2,-117,-7.8
2025-12-20 00:19:04,NODO 1.5,23.92,88.91,1006.0,3915.0,89.2,-101,12.0
2025-12-20 00:20:09,NODO 1.28,23.93,98.53,1006.0,3925.0,88.6,-107,5.8
2025-12-20 00:20:50,NODO 1.15,25.1,92.85,1007.0,3915.0,88.5,-118,-10.0
2025-12-20 00:23:19,NODO 1.12,23.39,94.16,1007.0,3925.0,88.5,-104,9.8
2025-12-20 00:25:25,NODO 1.6,25.05,76.79,1008.0,3935.0,88.7,-116,-7.8
2025-12-20 00:26:37,NODO 1.22,24.67,81.54,1006.0,3920.0,88.7,-117,-6.8
2025-12-20 00:27:53,NODO 1.4,23.85,87.26,1006.0,3949.0,88.9,-111,5.0
2025-12-20 00:28:34,NODO 1.17,25.08,76.06,1007.0,3900.0,88.8,-118,-8.5
2025-12-20 00:29:15,NODO 1.30,23.52,100.0,1006.0,3959.0,89.1,-109,6.3
2025-12-20 00:31:17,NODO 1.26,25.07,81.76,1007.0,3915.0,88.9,-115,-6.0
2025-12-20 00:31:30,NODO 1.18,23.74,99.01,1006.0,3900.0,88.7,-100,12.0
2025-12-20 00:33:40,NODO 1.2,23.82,100.0,1005.0,3905.0,88.3,-90,13.5
2025-12-20 00:33:48,NODO 1.9,24.09,87.39,1006.0,3930.0,88.6,-101,11.8
2025-12-20 00:33:57,NODO 1.14,23.89,92.36,1006.0,3935.0,88.3,-94,13.0
2025-12-20 00:35:01,NODO 1.27,23.7,87.28,1006.0,3704.0,86.2,-98,11.0
2025-12-20 00:35:47,NODO 1.8,23.76,98.23,1005.0,3949.0,86.7,-98,12.3
2025-12-20 00:36:00,NODO 1.32,23.91,100.0,1005.0,3969.0,87.4,-110,5.5
2025-12-20 00:37:46,NODO 1.31,23.62,90.76,1006.0,3905.0,87.1,-115,-0.8
2025-12-20 00:37:48,NODO 1.7,24.65,79.5,1006.0,3930.0,87.1,-116,-4.0
2025-12-20 00:38:07,NODO 1.16,24.11,86.76,1006.0,3945.0,89.5,-114,-7.3
2025-12-20 00:38:58,NODO 1.29,23.8,89.33,1005.0,3930.0,89.3,-90,13.5
2025-12-20 00:39:18,NODO 1.1,23.62,91.85,1005.0,3915.0,88.8,-116,-3.5
2025-12-20 00:40:18,NODO 1.11,23.45,92.83,1005.0,3994.0,89.6,-96,12.8
2025-12-20 00:45:11,NODO 1.10,23.47,89.6,1007.0,3925.0,89.6,-84,14.3
2025-12-20 00:46:45,NODO 1.3,24.8,78.17,1007.0,3915.0,89.3,-116,-3.0
2025-12-20 00:47:59,NODO 1.21,23.9,87.36,1006.0,3915.0,89.1,-117,-9.0
2025-12-20 00:48:59,NODO 1.5,23.86,88.69,1005.0,3920.0,89.2,-104,10.0
2025-12-20 00:50:07,NODO 1.28,23.86,98.45,1006.0,3925.0,88.5,-107,7.8
2025-12-20 00:53:16,NODO 1.12,23.38,93.2,1007.0,3925.0,88.5,-104,10.5
2025-12-20 00:55:24,NODO 1.6,25.01,76.33,1007.0,3925.0,88.6,-117,-7.0
2025-12-20 00:56:33,NODO 1.22,24.61,81.32,1005.0,3920.0,88.7,-116,-3.0
