time,deviceName,temperature,humidity,pressure_hPa,battery_mV,battery_pct,rssi,snr
2025-12-22 00:00:07,NODO 1.24,25.24,74.94,1007.0,3959.0,86.0,-113,-1.3
2025-12-22 00:00:48,NODO 1.32,25.01,93.28,1005.0,3959.0,86.6,-109,6.0
2025-12-22 00:02:01,NODO 1.8,24.82,86.68,1005.0,3945.0,86.8,-103,8.3
2025-12-22 00:02:04,NODO 1.29,24.5,78.94,1005.0,3925.0,89.1,-97,13.0
2025-12-22 00:04:16,NODO 1.11,24.71,79.23,1005.0,3984.0,90.2,-98,12.0
2025-12-22 00:04:49,NODO 1.7,26.07,71.0,1006.0,3915.0,89.8,-118,-8.0
2025-12-22 00:05:08,NODO 1.16,24.9,76.81,1006.0,3935.0,89.5,-116,-3.5
2025-12-22 00:05:15,NODO 1.1,24.28,80.22,1005.0,3915.0,89.2,-107,5.5
2025-12-22 00:08:39,NODO 1.10,24.18,79.54,1006.0,3925.0,89.2,-84,13.5
2025-12-22 00:10:25,NODO 1.3,26.17,69.58,1007.0,3915.0,88.5,-114,-2.5
2025-12-22 00:12:12,NODO 1.5,24.56,80.13,1005.0,3915.0,88.5,-96,11.5
2025-12-22 00:13:01,NODO 1.21,24.42,78.22,1006.0,3915.0,88.3,-114,
2025-12-22 00:13:51,NODO 1.28,24.69,89.61,1006.0,3905.0,88.2,-92,13.5
2025-12-22 00:18:40,NODO 1.6,25.2,75.49,1007.0,3920.0,88.2,-116,-10.0
2025-12-22 00:18:51,NODO 1.12,24.24,81.85,1006.0,3925.0,88.3,-109,7.0
2025-12-22 00:20:24,NODO 1.22,26.02,71.94,1006.0,3915.0,88.3,-116,-3.3
2025-12-22 00:20:33,NODO 1.4,24.48,78.11,1006.0,3945.0,88.6,-104,9.5
2025-12-22 00:21:36,NODO 1.17,26.3,67.74,1007.0,3900.0,88.5,-116,-2.3
2025-12-22 00:23:44,NODO 1.30,24.04,87.68,1006.0,3945.0,88.8,-110,5.0
2025-12-22 00:24:05,NODO 1.26,26.35,73.34,1007.0,3915.0,88.7,-115,-1.0
2025-12-22 00:25:13,NODO 1.18,23.98,89.71,1005.0,3905.0,88.6,-99,12.3
2025-12-22 00:25:57,NODO 1.2,24.87,89.04,1005.0,3905.0,88.2,-95,13.3
2025-12-22 00:26:14,NODO 1.14,24.45,83.18,1006.0,3935.0,88.5,-92,13.3
2025-12-22 00:26:56,NODO 1.20,24.95,84.8,1006.0,3896.0,88.1,-109,4.8
2025-12-22 00:27:20,NODO 1.9,24.59,78.95,1006.0,3920.0,88.1,-102,11.0
2025-12-22 00:29:10,NODO 1.27,24.0,78.35,1006.0,3690.0,86.0,-101,12.0
2025-12-22 00:29:45,NODO 1.31,23.96,82.2,1006.0,3886.0,85.8,-114,1.0
2025-12-22 00:30:04,NODO 1.24,25.14,75.37,1006.0,3959.0,86.0,-115,-1.5
2025-12-22 00:30:44,NODO 1.32,24.82,94.13,1005.0,3949.0,86.5,-109,6.0
2025-12-22 00:31:57,NODO 1.29,24.27,80.03,1004.0,3930.0,86.6,-89,13.5
2025-12-22 00:32:00,NODO 1.8,24.53,88.56,1004.0,3945.0,89.2,-103,11.0
2025-12-22 00:32:24,NODO 1.13,26.53,68.93,1007.0,3920.0,89.5,-115,-4.8
2025-12-22 00:34:13,NODO 1.11,24.57,79.87,1004.0,3984.0,89.8,-97,13.0
2025-12-22 00:34:47,NODO 1.7,25.95,71.1,1006.0,3915.0,89.4,-116,-3.0
2025-12-22 00:35:12,NODO 1.1,24.04,81.53,1005.0,3915.0,89.3,-106,8.5
2025-12-22 00:38:34,NODO 1.10,23.99,80.97,1006.0,3915.0,89.0,-84,14.0
2025-12-22 00:40:24,NODO 1.3,26.07,69.7,1006.0,3900.0,88.8,-115,-1.5
2025-12-22 00:42:08,NODO 1.5,24.17,82.29,1005.0,3905.0,88.0,-98,12.5
2025-12-22 00:42:57,NODO 1.21,24.17,79.88,1006.0,3891.0,87.8,-117,-6.0
2025-12-22 00:43:48,NODO 1.28,24.39,91.58,1006.0,3905.0,87.7,-103,10.5
2025-12-22 00:48:36,NODO 1.6,25.11,75.82,1007.0,3920.0,87.7,-115,0.3
2025-12-22 00:48:48,NODO 1.12,23.94,83.66,1006.0,3925.0,88.0,-104,9.3
2025-12-22 00:50:22,NODO 1.22,25.91,72.21,1005.0,3920.0,88.1,-115,-0.5
2025-12-22 00:50:29,NODO 1.4,24.22,78.96,1005.0,3945.0,88.7,-106,9.0
2025-12-22 00:51:31,NODO 1.17,26.21,68.1,1006.0,3900.0,88.6,-115,-1.8
2025-12-22 00:53:39,NODO 1.30,23.72,89.78,1006.0,3945.0,88.8,-108,5.5
2025-12-22 00:54:00,NODO 1.26,26.26,73.56,1007.0,3915.0,88.8,-116,-3.5
2025-12-22 00:55:09,NODO 1.18,23.72,90.85,1005.0,3905.0,88.6,-103,10.5
2025-12-22 00:55:50,NODO 1.2,24.64,89.26,1005.0,3905.0,88.2,-95,10.8
2025-12-22 00:56:08,NODO 1.14,24.31,83.57,1006.0,3935.0,88.5,-91,14.0
2025-12-22 00:56:52,NODO 1.20,24.72,85.74,1006.0,3900.0,88.1,-107,7.8
2025-12-22 00:57:16,NODO 1.9,24.44,79.35,1006.0,3920.0,88.2,-101,11.8
2025-12-22 00:59:07,NODO 1.27,23.76,79.89,1006.0,3700.0,86.1,-92,13.5
2025-12-22 00:59:39,NODO 1.31,23.7,82.86,1006.0,3881.0,85.9,-108,7.0
2025-12-22 01:00:02,NODO 1.24,25.04,75.83,1006.0,3959.0,86.1,-114,-0.5
2025-12-22 01:00:39,NODO 1.32,24.6,95.48,1005.0,3949.0,86.6,-110,5.3
2025-12-22 01:01:53,NODO 1.29,24.04,80.39,1004.0,3930.0,86.7,-89,12.8
2025-12-22 01:01:56,NODO 1.8,24.28,89.14,1004.0,3935.0,89.0,-103,10.5
2025-12-22 01:04:11,NODO 1.11,24.38,80.69,1004.0,3984.0,90.1,-97,10.8
2025-12-22 01:04:48,NODO 1.7,25.86,71.38,1006.0,3915.0,89.6,-116,-1.3
2025-12-22 01:05:08,NODO 1.1,23.83,83.01,1004.0,3915.0,89.3,-107,7.8
2025-12-22 01:08:31,NODO 1.10,23.76,82.09,1006.0,3915.0,89.1,-84,13.3
2025-12-22 01:10:17,NODO 1.3,25.97,70.28,1006.0,3900.0,88.8,-114,0.5
2025-12-22 01:12:03,NODO 1.5,23.99,82.88,1005.0,3915.0,88.1,-97,12.5
2025-12-22 01:12:54,NODO 1.21,23.97,80.35,1005.0,3900.0,88.0,-116,-2.0
2025-12-22 01:13:42,NODO 1.28,24.14,92.01,1005.0,3900.0,87.8,-104,9.8
2025-12-22 01:18:32,NODO 1.6,25.0,76.45,1007.0,3920.0,87.8,-114,-2.0
2025-12-22 01:18:44,NODO 1.12,23.74,84.43,1006.0,3920.0,88.0,-106,8.8
2025-12-22 01:20:20,NODO 1.22,25.8,72.54,1005.0,3920.0,88.1,-116,-3.5
2025-12-22 01:20:23,NODO 1.4,24.01,79.5,1005.0,3949.0,88.6,-113,2.8
2025-12-22 01:21:27,NODO 1.17,26.11,68.48,1006.0,3896.0,88.5,-114,0.5
2025-12-22 01:22:24,NODO 1.25,25.04,74.07,1006.0,3935.0,88.7,-117,-7.8
2025-12-22 01:23:35,NODO 1.30,23.53,90.59,1005.0,3945.0,89.0,-106,8.5
2025-12-22 01:23:56,NODO 1.26,26.16,73.83,1006.0,3915.0,88.9,-114,-2.8
2025-12-22 01:25:06,NODO 1.18,23.53,91.95,1005.0,3900.0,88.4,-91,13.3
2025-12-22 01:25:45,NODO 1.2,24.43,89.29,1004.0,3905.0,88.5,-92,13.5
2025-12-22 01:26:03,NODO 1.14,24.08,84.62,1005.0,3930.0,88.5,-92,11.3
2025-12-22 01:26:49,NODO 1.20,24.6,86.04,1006.0,3896.0,88.0,-111,4.0
2025-12-22 01:27:11,NODO 1.9,24.32,78.58,1005.0,3920.0,88.0,-103,10.8
2025-12-22 01:29:02,NODO 1.27,23.56,80.61,1005.0,3695.0,86.0,-92,13.5
2025-12-22 01:29:34,NODO 1.31,23.53,83.68,1005.0,3871.0,85.6,-109,6.0
2025-12-22 01:30:36,NODO 1.32,24.46,96.8,1004.0,3949.0,85.8,-109,6.5
2025-12-22 01:31:49,NODO 1.29,23.85,81.11,1004.0,3930.0,86.2,-89,13.3
2025-12-22 01:31:53,NODO 1.8,24.02,90.9,1004.0,3945.0,86.4,-105,9.3
2025-12-22 01:34:08,NODO 1.11,24.21,81.07,1004.0,3984.0,89.3,-102,10.5
2025-12-22 01:34:46,NODO 1.7,25.76,71.69,1005.0,3920.0,89.8,-114,-0.3
2025-12-22 01:35:02,NODO 1.16,24.61,78.01,1005.0,3935.0,89.6,-115,-0.8
2025-12-22 01:35:05,NODO 1.1,23.63,83.98,1004.0,3915.0,89.5,-109,6.0
